Designator,Mid X,Mid Y,Layer,Rotation
Q101,70.3975mm,71.96mm,Bottom,0.0
Q100,67.025mm,69.32mm,Bottom,270.0
L100,76.92439999999999mm,53.275mm,Bottom,180.0
F100,78.78mm,71.95339999999999mm,Bottom,180.0
C120,75.0251mm,53.1245mm,Top,0.0
C107,69.9035mm,69.725mm,Bottom,0.0
C106,69.9285mm,65.3819mm,Bottom,0.0
U110,69.4781mm,63.329899999999995mm,Bottom,270.0
R145,69.5172mm,60.369699999999995mm,Bottom,0.0
R144,69.5172mm,61.3152mm,Bottom,0.0
R143,62.9218mm,49.1562mm,Bottom,270.0
R107,71.63889999999999mm,71.3034mm,Top,0.0
D108,71.2781mm,72.675mm,Top,180.0
U107,92.6315mm,49.1289mm,Bottom,0.0
U106,93.31739999999999mm,62.556799999999996mm,Top,0.0
C134,92.6315mm,47.392599999999995mm,Bottom,0.0
C126,93.6202mm,64.5001mm,Top,180.0
VD102,90.3712mm,44.519999999999996mm,Bottom,270.0
VD101,93.725mm,40.129999999999995mm,Bottom,90.0
VD100,90.3712mm,40.129999999999995mm,Bottom,90.0
U109,90.9052mm,42.409mm,Top,0.0
U103,68.025mm,55.75mm,Bottom,270.0
U100,65.6251mm,62.4255mm,Top,90.0
U195,72.825mm,48.275mm,Top,90.0
U190,87.025mm,48.275mm,Top,90.0
U185,65.725mm,48.275mm,Top,90.0
U180,79.925mm,48.275mm,Top,90.0
S101,81.7247mm,71.5393mm,Top,0.0
S100,92.8715mm,58.425mm,Top,90.0
R140,86.82509999999999mm,42.224999999999994mm,Bottom,0.0
R111,63.025mm,53.574999999999996mm,Bottom,180.0
R112,63.025mm,54.625mm,Bottom,180.0
R117,63.025mm,59.875mm,Bottom,180.0
R115,63.025mm,57.775mm,Bottom,180.0
R116,63.025mm,58.824999999999996mm,Bottom,180.0
R114,63.025mm,56.724999999999994mm,Bottom,180.0
R113,63.025mm,55.675mm,Bottom,180.0
R110,63.025mm,52.525mm,Bottom,180.0
R120,93.3433mm,65.71199999999999mm,Top,0.0
R100,62.7251mm,62.425mm,Bottom,90.0
R258,83.4827mm,41.719899999999996mm,Bottom,270.0
R255,62.675mm,39.824999999999996mm,Bottom,270.0
R256,84.425mm,44.425mm,Bottom,90.0
R254,62.574999999999996mm,42.275mm,Top,270.0
R245,80.1251mm,40.775mm,Bottom,0.0
R227,75.325mm,40.775mm,Bottom,0.0
R200,65.7251mm,40.775mm,Bottom,0.0
R197,72.82509999999999mm,49.625mm,Bottom,180.0
R196,72.825mm,46.824999999999996mm,Bottom,0.0
R195,75.6751mm,46.324999999999996mm,Bottom,270.0
R191,86.925mm,49.625mm,Bottom,180.0
R190,86.925mm,46.824999999999996mm,Bottom,0.0
R186,65.725mm,49.625mm,Bottom,180.0
R185,65.725mm,46.824999999999996mm,Bottom,0.0
R181,79.925mm,49.625mm,Bottom,180.0
R180,79.925mm,46.824999999999996mm,Bottom,0.0
R139,88.025mm,39.724999999999994mm,Top,270.0
R138,86.825mm,39.724999999999994mm,Top,270.0
R137,85.625mm,39.724999999999994mm,Top,270.0
R136,84.425mm,39.724999999999994mm,Top,270.0
R135,88.025mm,40.724999999999994mm,Top,90.0
R132,86.825mm,40.724999999999994mm,Top,90.0
R126,85.625mm,40.724999999999994mm,Top,90.0
R124,84.425mm,40.724999999999994mm,Top,90.0
R119,63.625mm,53.625mm,Top,90.0
R118,63.625mm,57.724999999999994mm,Top,90.0
R253,82.025mm,39.724999999999994mm,Top,90.0
R252,80.825mm,39.724999999999994mm,Top,90.0
R251,79.625mm,39.724999999999994mm,Top,90.0
R250,78.425mm,39.724999999999994mm,Top,90.0
R249,82.025mm,40.724999999999994mm,Top,270.0
R248,80.825mm,40.724999999999994mm,Top,270.0
R247,79.625mm,40.724999999999994mm,Top,270.0
R246,78.425mm,40.724999999999994mm,Top,270.0
R235,77.225mm,39.724999999999994mm,Top,90.0
R234,76.025mm,39.724999999999994mm,Top,90.0
R233,74.825mm,39.724999999999994mm,Top,90.0
R232,73.625mm,39.724999999999994mm,Top,90.0
R231,77.225mm,40.724999999999994mm,Top,270.0
R230,76.025mm,40.724999999999994mm,Top,270.0
R229,74.825mm,40.724999999999994mm,Top,270.0
R228,73.625mm,40.724999999999994mm,Top,270.0
R226,72.425mm,39.724999999999994mm,Top,270.0
R225,71.225mm,39.724999999999994mm,Top,270.0
R224,70.025mm,39.724999999999994mm,Top,270.0
R223,68.825mm,39.724999999999994mm,Top,270.0
R222,72.425mm,40.724999999999994mm,Top,90.0
R221,71.225mm,40.724999999999994mm,Top,90.0
R220,70.025mm,40.724999999999994mm,Top,90.0
R219,68.825mm,40.724999999999994mm,Top,90.0
R218,70.525mm,40.775mm,Bottom,0.0
R208,67.625mm,39.724999999999994mm,Top,270.0
R207,66.425mm,39.724999999999994mm,Top,270.0
R206,65.225mm,39.724999999999994mm,Top,270.0
R205,64.025mm,39.724999999999994mm,Top,270.0
R204,67.625mm,40.724999999999994mm,Top,90.0
R203,66.425mm,40.724999999999994mm,Top,90.0
R202,65.225mm,40.724999999999994mm,Top,90.0
R201,64.025mm,40.724999999999994mm,Top,90.0
P106,84.925mm,51.675mm,Top,270.0
P105,77.30499999999999mm,51.675mm,Top,270.0
P104,81.315mm,51.675mm,Top,270.0
P201,83.275mm,40.224999999999994mm,Top,90.0
P200,62.725mm,38.724999999999994mm,Top,90.0
J100,88.475mm,61.525mm,Bottom,90.0
D100,66.125mm,61.717299999999994mm,Bottom,180.0
D205,92.72149999999999mm,46.981399999999994mm,Top,90.0
D206,80.225mm,43.525mm,Top,180.0
D203,75.425mm,43.525mm,Top,180.0
D200,65.825mm,43.525mm,Top,180.0
D116,67.1611mm,52.3245mm,Top,180.0
D115,71.3994mm,52.3245mm,Top,180.0
D114,67.1611mm,54.25789999999999mm,Top,180.0
D113,71.3994mm,54.25789999999999mm,Top,180.0
D112,67.1611mm,56.191199999999995mm,Top,180.0
D111,71.3994mm,56.191199999999995mm,Top,180.0
D110,67.1611mm,58.1245mm,Top,180.0
D109,71.2781mm,58.26389999999999mm,Top,180.0
D202,70.625mm,43.525mm,Top,180.0
C143,84.425mm,42.625mm,Top,270.0
C144,85.625mm,42.625mm,Top,90.0
